Дата аукциона,Код  выпуска,Тип бумаги,Дата погашения,Дней до погашения,Объем предложения,Цена отсечения,Цена средневзвешенная,Доходность по цене отсечения,Доходность по средневзве- шенной цене,Совокупный объем спроса по номиналу,Объем размещения по номиналу,Объем выручки,Коэффициент активности,Коэффициент размещения на аукционе,source_file,Доходность по цене отсечения*,Доходность по средневзве- шенной цене*,Тип бумаги*,Доходность по цене отсечения**,Доходность по средневзве- шенной цене**,Коэффициент удовлетворения спроса на аукционе,Дата,Формат*,Тип бумаги**,Доходность по цене отсечения***,Доходность по средневзве- шенной цене***
2016-01-27 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3290.0,16000.0,102.8,102.86489999999999,,,26928.29,11189.956,12256.34342117,1.683018125,0.69937225,ofz_2016.xlsx,14.41,14.39,,,,,,,,,
2016-01-27 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1463.0,14008.257,102.655,102.69299999999998,,,40995.475,14008.256,15353.88690908,2.9265221933035637,0.9999999286135313,ofz_2016.xlsx,14.000000000000002,13.98,,,,,,,,,
2016-02-03 00:00:00.000000000,52001RMFS,ОФЗ-ИН,2023-08-16 00:00:00.000000000,2751.0,12082.41339588,99.75,99.87549999999999,,,17951.532531,8189.08786632,8269.15775325,1.4857571863185315,0.6777692169606123,ofz_2016.xlsx,2.6599999999999997,2.64,,,,,,,,,
2016-02-03 00:00:00.000000000,26217RMFS,ОФЗ-ПД,2021-08-18 00:00:00.000000000,2023.0,15000.0,88.48,88.6589,,,59937.112,15000.0,13600.92925,3.9958074666666668,1.0,ofz_2016.xlsx,10.54,10.489999999999998,,,,,,,,,
2016-02-10 00:00:00.000000000,26207RMFS,ОФЗ-ПД,2027-02-03 00:00:00.000000000,4011.0,10000.0,87.31,87.5434,,,46158.966,9999.999,9145.14203782,4.6158966,0.9999998999999999,ofz_2016.xlsx,10.34,10.299999999999999,,,,,,,,,
2016-02-10 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3276.0,15000.0,103.8505,103.9333,,,42150.566,14999.998,15589.99092133,2.810037733333333,0.9999998666666666,ofz_2016.xlsx,11.959999999999999,11.940000000000001,,,,,,,,,
2016-02-17 00:00:00.000000000,26218RMFS,ОФЗ-ПД,2031-09-17 00:00:00.000000000,5691.0,20000.0,88.2269,88.4639,,,65252.12600000001,19999.998,18214.383896569998,3.2626063000000007,0.9999998999999999,ofz_2016.xlsx,10.25,10.22,,,,,,,,,
2016-02-17 00:00:00.000000000,29011RMFS,ОФЗ-ПК,2020-01-29 00:00:00.000000000,1442.0,10000.0,103.84500000000001,103.86500000000001,,,27234.976,10000.0,10432.8,2.7234976,1.0,ofz_2016.xlsx,11.15,10.14,,,,,,,,,
2016-03-02 00:00:00.000000000,29006RMFS,ОФЗ-ПК,2025-01-29 00:00:00.000000000,3255.0,20000.0,106.8115,106.8537,,,51033.719,19999.998,21512.54184873,2.55168595,0.9999998999999999,ofz_2016.xlsx,11.4,11.4,,,,,,,,,
2016-03-02 00:00:00.000000000,26217RMFS,ОФЗ-ПД,2021-08-18 00:00:00.000000000,1995.0,15000.0,92.2222,92.27539999999999,,,40937.486,14999.999,13862.91455633,2.7291657333333332,0.9999999333333334,ofz_2016.xlsx,9.569999999999999,9.55,,,,,,,,,
